ER_Sewage_Hold_Tk ;;;;;;;;;;;;;
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
20.0;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.0;0.0;0.0;0.0
30.0;;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;0.0;0.0;0.0;0.0
40.0;;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;0.0;0.0;0.0;0.0
50.0;;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;0.0;0.0;0.0;0.0
60.0;;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;0.0;0.0;0.0;0.0
35.0;;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;0.0;0.0;0.0;0.0
70.0;;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.0;0.0;0.0;0.0
80.0;;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;0.0;0.0;0.0;0.0
90.0;;3.2;3.2;3.2;3.2;3.2;3.2;3.2;3.2;0.0;0.0;0.0;0.0
100.0;;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;0.0;0.0;0.0;0.0
110.0;;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;0.0;0.0;0.0;0.0
120.0;;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;0.0;0.0;0.0;0.0
130.0;;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;0.0;0.0;0.0;0.0
140.0;;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;0.0;0.0;0.0;0.0
150.0;;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;0.0;0.0;0.0;0.0
160.0;;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;0.0;0.0;0.0;0.0
170.0;;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0
180.0;;6.4;6.4;6.4;6.4;6.4;6.4;6.4;6.4;0.0;0.0;0.0;0.0
190.0;;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;0.0;0.0;0.0;0.0
200.0;;7.1;7.1;7.1;7.1;7.1;7.1;7.1;7.1;0.0;0.0;0.0;0.0
210.0;;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.4;0.0;0.0;0.0;0.0
220.0;;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8;0.0;0.0;0.0;0.0
230.0;;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;0.0;0.0;0.0;0.0
240.0;;8.5;8.5;8.5;8.5;8.5;8.5;8.5;8.5;0.0;0.0;0.0;0.0
250.0;;8.8;8.8;8.8;8.8;8.8;8.8;8.8;8.8;0.0;0.0;0.0;0.0
260.0;;9.2;9.2;9.2;9.2;9.2;9.2;9.2;9.2;0.0;0.0;0.0;0.0
270.0;;9.5;9.5;9.5;9.5;9.5;9.5;9.5;9.5;0.0;0.0;0.0;0.0
280.0;;9.9;9.9;9.9;9.9;9.9;9.9;9.9;9.9;0.0;0.0;0.0;0.0
290.0;;10.2;10.2;10.2;10.2;10.2;10.2;10.2;10.2;0.0;0.0;0.0;0.0
300.0;;10.6;10.6;10.6;10.6;10.6;10.6;10.6;10.6;0.0;0.0;0.0;0.0
310.0;;10.9;10.9;10.9;10.9;10.9;10.9;10.9;10.9;0.0;0.0;0.0;0.0
